"Region","2011_number_millions_overweight","2012_number_millions_overweight","2013_number_millions_overweight","2014_number_millions_overweight","2015_number_millions_overweight","2016_number_millions_overweight","2017_number_millions_overweight","2018_number_millions_overweight","2019_number_millions_overweight","2020_number_millions_overweight"
"Global","36.8","37.0","37.2","37.4","37.6","37.8","38.1","38.4","38.6","38.9"
"WHO Regions","","","","","","","","","",""
"African Region","6.1","6.1","6.1","6.2","6.3","6.4","6.6","6.8","7.1","7.3"
"Region of the Americas","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8"
"South-East Asia Region","5.8","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.6"
"Eastern Mediterranean Region","5.9","6.0","6.2","6.3","6.4","6.5","6.5","6.6","6.5","6.6"
"Europe Region","5.4","5.3","5.2","5.1","5.0","4.8","4.7","4.6","4.5","4.4"
"Western Pacific Region","7.6","7.8","8.0","8.1","8.2","8.3","8.5","8.6","8.8","8.8"
"","","","","","","","","","",""
"World Bank Income 3","","","","","","","","","",""
"Low income","3.5","3.5","3.4","3.4","3.4","3.4","3.4","3.5","3.7","3.8"
"Middle Income","28.2","28.4","28.6","28.9","29.0","29.2","29.4","29.6","29.7","29.8"
"Lower-middle income","14.4","14.5","14.6","14.8","14.9","15.1","15.2","15.3","15.5","15.5"
"Upper-middle income","13.7","13.9","14.0","14.1","14.0","14.1","14.1","14.2","14.2","14.2"
"High income","4.8","4.8","4.9","4.9","4.9","4.9","4.9","5.0","5.0","5.0"
