"Region","2010_stunting_number","2011_stunting_number","2012_stunting_number","2013_stunting_number","2014_stunting_number","2015_stunting_number","2016_stunting_number","2017_stunting_number","2018_stunting_number","2019_stunting_number","2020_stunting_number"
"Global","180.5","177.3","173.7","169.9","166.4","163.4","160.5","157.7","154.9","152.0","149.2"
"WHO Regions","","","","","","","","","","",""
"African Region","53.6","53.9","54.1","54.3","54.3","54.5","54.7","54.9","55.0","54.9","54.9"
"Region of the Americas","7.8","7.5","7.3","7.2","7.1","7.0","6.9","6.8","6.7","6.6","6.5"
"South-East Asia Region","75.9","73.2","70.1","67.0","64.1","61.5","58.8","56.7","54.7","52.9","51.1"
"Eastern Mediterranean Region","23.4","23.4","23.5","23.5","23.5","23.4","23.4","23.3","23.0","22.7","22.4"
"Europe Region","4.1","4.1","4.1","4.0","3.9","3.8","3.7","3.6","3.4","3.3","3.2"
"Western Pacific Region","15.4","14.9","14.3","13.9","13.4","13.1","12.8","12.3","11.9","11.5","11.0"
"","","","","","","","","","","",""
"World Bank Income 3","","","","","","","","","","",""
"Low income","36.0","36.1","36.1","36.1","36.0","36.0","36.1","36.1","36.1","36.1","36.1"
"Middle Income","141.0","137.7","134.1","130.6","127.2","124.2","121.3","118.6","115.8","113.0","110.2"
"Lower-middle income","122.7","120.2","117.3","114.3","111.4","108.8","106.2","103.9","101.6","99.2","96.9"
"Upper-middle income","18.6","17.8","17.2","16.6","16.1","15.7","15.4","15.0","14.5","14.0","13.6"
"High income","2.4","2.3","2.3","2.3","2.2","2.2","2.2","2.1","2.1","2.1","2.1"
